Field characteristic;Edwards Curve P_x;Edwards Curve P_y;Edwards Curve Point Order;Montgomery Curve P_x;Montgomery Curve P_y;Montgomery Curve Point Order
3119;9;1355;3120;28;553;3120
3163;5;27;3164;2;1122;3164
3167;3;1193;3168;5;904;3168
3187;6;305;3188;2;411;3188
3191;4;158;3192;26;1335;3192
3203;2;723;3204;2;310;3204
3251;6;974;3252;24;988;3252
3259;9;1534;3260;7;1533;3260
3271;13;340;3272;6;1020;3272
3299;10;560;3300;28;1338;3300
3307;10;497;3308;2;244;3308
3319;34;1040;3320;14;250;3320
3323;7;1261;3324;2;1259;3324
3331;5;32;3332;3;695;3332
3343;3;1197;3344;3;892;3344
3347;6;563;3348;6;239;3348
3359;5;551;3360;37;830;3360
3371;9;156;3372;7;61;3372
3391;6;84;3392;6;978;3392
3407;2;1127;3408;10;1620;3408
3463;3;393;3464;3;1457;3464
3467;12;288;3468;7;295;3468
3491;4;941;3492;6;1534;3492
3499;11;1334;3500;3;769;3500
3511;9;136;3512;12;1266;3512
3527;2;1004;3528;10;1541;3528
3539;4;1058;3540;17;1747;3540
3547;4;262;3548;2;526;3548
3559;12;544;3560;12;961;3560
3571;5;790;3572;3;500;3572
3583;3;1371;3584;5;1586;3584
3607;3;763;3608;3;190;3608
3623;2;808;3624;11;1099;3624
3631;6;793;3632;6;1003;3632
3643;4;150;3644;2;135;3644
3659;7;421;3660;14;1318;3660
3671;6;212;3672;43;99;3672
3691;5;674;3692;3;61;3692
3719;31;269;3720;33;1182;3720
3727;3;849;3728;3;891;3728
3739;9;1611;3740;7;1274;3740
3767;2;228;3768;15;402;3768
3779;55;1793;3780;6;1478;3780
3803;2;524;3804;2;1848;3804
3823;3;786;3824;3;223;3824
3847;3;1238;3848;3;402;3848
3851;13;1130;3852;7;908;3852
3863;5;1005;3864;5;1027;3864
3907;4;1632;3908;2;1004;3908
3911;5;1584;3912;26;1549;3912
3919;8;32;3920;19;1788;3920
3923;2;28;3924;2;381;3924
3931;9;105;3932;3;755;3932
3943;3;285;3944;3;1390;3944
3947;2;1325;3948;13;1018;3948
3967;3;1565;3968;3;1900;3968
4003;5;269;4004;2;1083;4004
4007;2;1567;4008;17;920;4008
4019;7;694;4020;6;156;4020
4027;5;176;4028;2;1266;4028
4051;6;129;4052;3;156;4052
4079;11;1869;4080;11;617;4080
4091;10;819;4092;29;1691;4092
4099;10;1599;4100;3;730;4100
4111;9;1510;4112;15;1847;4112
4127;2;1227;4128;5;549;4128
4139;9;475;4140;6;1290;4140
4159;13;967;4160;6;233;4160
4211;7;2084;4212;17;482;4212
4219;8;1606;4220;12;255;4220
4231;6;982;4232;6;235;4232
4243;4;685;4244;2;2065;4244
4259;8;801;4260;14;1952;4260
4271;9;1103;4272;28;25;4272
4283;2;1560;4284;11;75;4284
4327;3;1768;4328;3;2036;4328
4339;13;1436;4340;3;675;4340
4363;4;1104;4364;2;637;4364
4391;10;1123;4392;17;1977;4392
4423;3;1057;4424;3;767;4424
4447;3;1530;4448;3;1402;4448
4451;4;553;4452;10;1275;4452
4463;3;1514;4464;14;1930;4464
4483;4;482;4484;2;1774;4484
4507;5;258;4508;2;1705;4508
