Montgomery Curve - Initialization Time (s);Montgomery Curve - Signature Time (s);Montgomery Curve - Verification Time (s);Edwards Curve - Initialization Time (s);Edwards Curve - Signature Time (s);Edwards Curve - Verification Time (s);Twisted Edwards Curve - Initialization Time (s);Twisted Edwards Curve - Signature Time (s);Twisted Edwards Curve - Verification Time (s)
0.35591;0.34484;0.80706;0.29611;0.27529;0.23785;0.28191;0.27446;0.23856
0.34675;0.3504;0.7841;0.29441;0.29684;0.24854;0.31662;0.30567;0.24434
0.35642;0.3903;0.78844;0.28094;0.2752;0.23963;0.2719;0.28728;0.2391
0.34776;0.33373;0.78796;0.28168;0.29002;0.24109;0.27698;0.2879;0.24052
0.34465;0.34826;0.78504;0.26967;0.28609;0.23718;0.27463;0.28689;0.24647
0.3587;0.35241;0.78835;0.28276;0.2882;0.24318;0.28058;0.28793;0.24896
0.3575;0.35495;0.84927;0.53331;0.39682;0.28043;0.28867;0.27693;0.24954
0.3621;0.35367;0.89267;0.41059;0.3085;0.25251;0.27877;0.29549;0.23968
0.36635;0.34712;0.79949;0.27748;0.26513;0.24744;0.27803;0.27181;0.24231
0.37278;0.33726;0.81709;0.27274;0.28762;0.24675;0.27832;0.27132;0.2389
0.37279;0.36414;0.79406;0.28482;0.30146;0.25011;0.2916;0.30195;0.27625
0.40894;0.38848;0.79063;0.28396;0.28588;0.26853;0.27371;0.27633;0.2402
0.36221;0.37814;0.82195;0.29134;0.29019;0.24294;0.29346;0.3114;0.29879
0.36974;0.35561;0.7973;0.29289;0.27863;0.23828;0.27637;0.27021;0.26509
0.34814;0.34074;0.82572;0.27748;0.27758;0.23745;0.28527;0.27704;0.24466
0.36086;0.34729;0.77745;0.28243;0.29599;0.23757;0.28929;0.27014;0.24836
0.36255;0.35125;0.78472;0.28047;0.2956;0.23874;0.29823;0.2847;0.25013
0.34524;0.35071;0.84443;0.29205;0.30323;0.24208;0.28269;0.31391;0.24934
0.34662;0.37318;0.82741;0.27209;0.2803;0.26363;0.28951;0.3064;0.24797
